annex_a,quota_period,line,label,category,value,repaired
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,B1),B1) Total vehicle deregistrations from Jul 2020 to Sep 2020,E,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,B1),B1) Total vehicle deregistrations from Jul 2020 to Sep 2020,Total,15488,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,B2),B2) Contribution of deregistrations to Category E (10% of B1),A,-498,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,B2),B2) Contribution of deregistrations to Category E (10% of B1),B,-525,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,B2),B2) Contribution of deregistrations to Category E (10% of B1),C,-293,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,B2),B2) Contribution of deregistrations to Category E (10% of B1),D,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,B2),B2) Contribution of deregistrations to Category E (10% of B1),E,1316,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,B2),B2) Contribution of deregistrations to Category E (10% of B1),Total,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(B),(B) Replacements of Deregistered Vehicles,A,4486,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(B),(B) Replacements of Deregistered Vehicles,B,4732,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(B),(B) Replacements of Deregistered Vehicles,C,2646,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(B),(B) Replacements of Deregistered Vehicles,D,2308,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(B),(B) Replacements of Deregistered Vehicles,E,1316,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(B),(B) Replacements of Deregistered Vehicles,Total,15488,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C1),C1) Adjustments for change in taxi population,A,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C1),C1) Adjustments for change in taxi population,B,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C1),C1) Adjustments for change in taxi population,C,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C1),C1) Adjustments for change in taxi population,D,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C1),C1) Adjustments for change in taxi population,E,1133,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C1),C1) Adjustments for change in taxi population,Total,1133,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C2),C2) Adjustments for replacements under Early Turnover Scheme,A,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C2),C2) Adjustments for replacements under Early Turnover Scheme,B,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C2),C2) Adjustments for replacements under Early Turnover Scheme,C,-1008,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C2),C2) Adjustments for replacements under Early Turnover Scheme,D,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C2),C2) Adjustments for replacements under Early Turnover Scheme,E,-112,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C2),C2) Adjustments for replacements under Early Turnover Scheme,Total,-1120,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C3),C3) Expired COEs,A,4,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C3),C3) Expired COEs,B,16,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C3),C3) Expired COEs,C,3,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,C3),C3) Expired COEs,D,2,False
